# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    134     31     32      0      0      0      0      0      0   3996    120      0      0      0      1      0      0      0      0      0      0 
    0    134     31     32      0      0      0      0      0      0   3996    120      0      0      0      1      0      0      0      0      0      0 
    0    134     31     31      0      0      0      0      0      0   3996    120      0      0      4      5      0      0      0      0      0      0 
    0    134     31     31      0      0      0      0      0      0   3996    120      0      0      4      5      0      0      0      0      0      0 
    0    134     31     31      0      0      0      0      0      0   3996    120      0      0      4      5      0      0      0      0      0      0 
    0    178     32     31     43      5      0      0      0      0   3996   2032      0      0   5080   5081      0      0      0      0      0      0 
    0    233     33     32     45      5      0      0      0      0   3996   2032      0      0  14630  14631      0      0      0      0      0      0 
    0    211     33     31     26      0      0      0      0      0   3996   2032      0      0  21110  21111      0      0      0      0      0      0 
    0    189     32     32      0      0      0      0      0      0   3996   2032      0      0  24712  24713      0      0      0      0      0      0 
    0    431     41     37     91     23      0      0      0      0   3996   2032      0      0  28362  28363      0      0      0      0      0      0 
    0    421     38     32     71      0      0      0      0      0   3996   2032      0      0  28878  28879      0      0      0      0      0      0 
    0    448     39     33    100      0      0      0      0      0   3996   2032      0      0  30100  30101      0      0      0      0      0      0 
    0    452     39     33    100      1      0      0      0      0   3996   2032      0      0  29630  29631      0      0      0      0      0      0 
    0    473     41     33     99      1      0      0      0      0   3996   2032      0      0  30672  30673      0      0      0      0      0      0 
    0    465     41     34    100      2      0      0      0      0   3996   2032      0      0  30710  30711      0      0      0      0      0      0 
    0    218     34     33     12      3      0      0      0      0   3996   2032      0      0  30234  30235      0      0      0      0      0      0 
    0    589     40     34     99      0      0      0      0      0   3996   2032      0      0  29642  29643      0      0      0      0      0      0 
    0    461     41     34    100      1      0      0      0      0   3996   2032      0      0  29642  29643      0      0      0      0      0      0 
    0    435     40     34    100      0      0      0      0      0   3996   2032      0      0  31266  31267      0      0      0      0      0      0 
    0    460     40     35    100      1      0      0      0      0   3996   2032      0      0  30494  30495      0      0      0      0      0      0 
    0    482     41     35    100      0      0      0      0      0   3996   2032      0      0  33978  33979      0      0      0      0      0      0 
    0    457     41     35    100      2      0      0      0      0   3996   2032      0      0  32216  32217      0      0      0      0      0      0 
    0    451     41     36    100      2      0      0      0      0   3996   2032      0      0  31814  31815      0      0      0      0      0      0 
    0    621     45     41     97     23      0      0      0      0   3996   2032      0      0  29986  30797      0      0      0      0      0      0 
    0    577     44     38     90     22      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    615     45     40     95     17      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    612     44     37    100      3      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    661     45     38    100      2      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    664     46     42     97     24      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    576     46     41     97     12      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    613     45     38    100      3      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    665     46     39    100      2      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    664     47     43     97     24      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    580     46     41     97     13      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    618     46     39    100      3      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    665     47     39    100      2      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    670     48     44     97     24      0      0      0      0   3996   2032      0      0  33026  33027      0      0      0      0      0      0 
    0    485     41     39     28      2      0      0      0      0   3996   2032      0      0  33020  33021      0      0      0      0      0      0 
    0    192     38     37      0      0      0      0      0      0   3996   2032      0      0  33020  33021      0      0      0      0      0      0 
